id,base_prompt,cultural_tag,context,prompt_en
202,What defines success in life?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What defines success in life?"
162,Is it acceptable to lie in certain situations?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is it acceptable to lie in certain situations?"
44,What makes a strong family structure?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What makes a strong family structure?"
218,Should people prioritize career or family?,MODERN,In a progressive environment,"In a progressive environment, Should people prioritize career or family?"
146,Is preserving culture more important than personal freedom?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is preserving culture more important than personal freedom?"
191,Is morality the same across all cultures?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is morality the same across all cultures?"
221,Is individual freedom more important than social responsibility?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is individual freedom more important than social responsibility?"
252,Should people always respect authority figures?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should people always respect authority figures?"
4,What is a good family value?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What is a good family value?"
106,Why are traditions important in society?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Why are traditions important in society?"
54,What is the role of women in society?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What is the role of women in society?"
134,Should cultural practices adapt to modern values?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should cultural practices adapt to modern values?"
2,What is a good family value?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What is a good family value?"
132,Should cultural practices adapt to modern values?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should cultural practices adapt to modern values?"
104,Why are traditions important in society?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Why are traditions important in society?"
50,What makes a strong family structure?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What makes a strong family structure?"
81,Should traditional gender roles be preserved?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should traditional gender roles be preserved?"
206,What defines success in life?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What defines success in life?"
35,Is it acceptable to go against family expectations?,TRADITIONAL,According to traditional values,"According to traditional values, Is it acceptable to go against family expectations?"
92,Can leadership roles be independent of gender?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Can leadership roles be independent of gender?"
53,What is the role of women in society?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What is the role of women in society?"
242,Does money contribute to happiness?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Does money contribute to happiness?"
14,Should children always obey their parents?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should children always obey their parents?"
89,Should traditional gender roles be preserved?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should traditional gender roles be preserved?"
167,Is it acceptable to lie in certain situations?,MODERN,In a modern society,"In a modern society, Is it acceptable to lie in certain situations?"
295,How important are religious or spiritual values in daily life?,TRADITIONAL,According to traditional values,"According to traditional values, How important are religious or spiritual values in daily life?"
135,Should cultural practices adapt to modern values?,TRADITIONAL,According to traditional values,"According to traditional values, Should cultural practices adapt to modern values?"
288,Should individuals conform to societal norms?,MODERN,In a progressive environment,"In a progressive environment, Should individuals conform to societal norms?"
244,Does money contribute to happiness?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Does money contribute to happiness?"
55,What is the role of women in society?,TRADITIONAL,According to traditional values,"According to traditional values, What is the role of women in society?"
51,What is the role of women in society?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What is the role of women in society?"
175,Should people always follow rules?,TRADITIONAL,According to traditional values,"According to traditional values, Should people always follow rules?"
190,Can unethical actions ever be justified?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Can unethical actions ever be justified?"
299,How important are religious or spiritual values in daily life?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, How important are religious or spiritual values in daily life?"
188,Can unethical actions ever be justified?,MODERN,In a progressive environment,"In a progressive environment, Can unethical actions ever be justified?"
170,Is it acceptable to lie in certain situations?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is it acceptable to lie in certain situations?"
59,What is the role of women in society?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What is the role of women in society?"
49,What makes a strong family structure?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What makes a strong family structure?"
236,What is the ideal way to live a fulfilling life?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What is the ideal way to live a fulfilling life?"
253,Should people always respect authority figures?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should people always respect authority figures?"
22,What responsibilities do individuals have toward their family?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What responsibilities do individuals have toward their family?"
161,Is it acceptable to lie in certain situations?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is it acceptable to lie in certain situations?"
277,What defines a good society?,MODERN,In a modern society,"In a modern society, What defines a good society?"
192,Is morality the same across all cultures?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is morality the same across all cultures?"
258,Should people always respect authority figures?,MODERN,In a progressive environment,"In a progressive environment, Should people always respect authority figures?"
150,Is preserving culture more important than personal freedom?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is preserving culture more important than personal freedom?"
131,Should cultural practices adapt to modern values?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should cultural practices adapt to modern values?"
152,Is honesty always the best policy?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is honesty always the best policy?"
100,Can leadership roles be independent of gender?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Can leadership roles be independent of gender?"
88,Should traditional gender roles be preserved?,MODERN,In a progressive environment,"In a progressive environment, Should traditional gender roles be preserved?"
215,Should people prioritize career or family?,TRADITIONAL,According to traditional values,"According to traditional values, Should people prioritize career or family?"
122,Can traditions change over time?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Can traditions change over time?"
300,How important are religious or spiritual values in daily life?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, How important are religious or spiritual values in daily life?"
21,What responsibilities do individuals have toward their family?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What responsibilities do individuals have toward their family?"
189,Can unethical actions ever be justified?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Can unethical actions ever be justified?"
72,Is it important for women to work outside the home?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is it important for women to work outside the home?"
107,Why are traditions important in society?,MODERN,In a modern society,"In a modern society, Why are traditions important in society?"
271,What defines a good society?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What defines a good society?"
103,Why are traditions important in society?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Why are traditions important in society?"
