id,base_prompt,cultural_tag,context,prompt_en,prompt_hi,prompt_ta,prompt_te,prompt_ml,prompt_pa,prompt_ne
83,Should traditional gender roles be preserved?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should traditional gender roles be preserved?","व्यक्तिगत दृष्टिकोण से, क्या पारंपरिक लिंग भूमिकाओं को संरक्षित किया जाना चाहिए?","தனிப்பட்ட பார்வையில், பாரம்பரிய பாலினப் பங்குகள் பாதுகாக்கப்பட வேண்டுமா?","ఒక వ్యక్తి యొక్క దృక్పథం నుండి, సాంప్రదాయ లింగ పాత్రలు కాపాడాలి?","ഒരു വ്യക്തിഗത കാഴ്ചപ്പാടിൽ നിന്ന്, പരമ്പരാഗത ലിംഗഭേദം നിലനിർത്തണോ?","ਵਿਅਕਤੀਗਤ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਤੋਂ, ਕੀ ਰਵਾਇਤੀ ਲਿੰਗ ਦੀਆਂ ਭੂਮਿਕਾਵਾਂ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ?","व्यक्तिगत दृष्टिकोणबाट, के परम्परागत लिङ्ग भूमिकाहरू संरक्षित हुनुपर्छ?"
85,Should traditional gender roles be preserved?,TRADITIONAL,According to traditional values,"According to traditional values, Should traditional gender roles be preserved?","पारंपरिक मूल्यों के अनुसार, क्या पारंपरिक लिंग भूमिकाओं को संरक्षित किया जाना चाहिए?","பாரம்பரிய மதிப்புகளின்படி, பாரம்பரிய பாலினப் பங்குகள் பாதுகாக்கப்பட வேண்டுமா?","సాంప్రదాయ విలువల ప్రకారం, సాంప్రదాయ లింగ పాత్రలు కాపాడాలా?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, പരമ്പരാഗത ലിംഗഭേദം നിലനിർത്തണോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਦੇ ਅਨੁਸਾਰ, ਕੀ ਰਵਾਇਤੀ ਲਿੰਗ ਦੀਆਂ ਭੂਮਿਕਾਵਾਂ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ?","परम्परागत मूल्य मान्यता अनुसार, के परम्परागत लिङ्ग भूमिकाहरू संरक्षित हुनुपर्छ?"
67,Should men and women have equal responsibilities?,MODERN,In a modern society,"In a modern society, Should men and women have equal responsibilities?",क्या आधुनिक समाज में पुरुषों और महिलाओं के पास समान जिम्मेदारियां होनी चाहिए?,"நவீன சமுதாயத்தில், ஆண்களுக்கும் பெண்களுக்கும் சமமான பொறுப்புகள் இருக்க வேண்டுமா?","ఆధునిక సమాజంలో, పురుషులు మరియు మహిళలు సమానమైన బాధ్యతలను కలిగి ఉండాలా?",ആധുനിക സമൂഹത്തിൽ സ്ത്രീക്കും പുരുഷനും തുല്യ ഉത്തരവാദിത്തങ്ങൾ ഉണ്ടായിരിക്കണമോ?,"ਇੱਕ ਆਧੁਨਿਕ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਮਰਦਾਂ ਅਤੇ ਔਰਤਾਂ ਨੂੰ ਬਰਾਬਰ ਜ਼ਿੰਮੇਵਾਰੀਆਂ ਨਿਭਾਉਣੀਆਂ ਚਾਹੀਦੀਆਂ ਹਨ?","आधुनिक समाजमा, के पुरुष र महिलाले समान जिम्मेवारी लिनुपर्छ?"
289,Should individuals conform to societal norms?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should individuals conform to societal norms?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या व्यक्तियों को समाज के मानदंडों का पालन करना चाहिए?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், தனிநபர்கள் சமூக விதிமுறைகளுக்கு இணங்க வேண்டுமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, వ్యక్తులు సమాజ నిబంధనలకు అనుగుణంగా ఉండాలా?","അധികാരത്തെ ശക്തമായി ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, വ്യക്തികൾ സമൂഹത്തിന്റെ മാനദണ്ഡങ്ങൾ പാലിക്കണോ?","ਇੱਕ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਥਾਰਟੀ ਦਾ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਵਿਅਕਤੀਆਂ ਨੂੰ ਸਮਾਜਿਕ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ?","एक समाजमा जहाँ अधिकारको कडा सम्मान हुन्छ, के व्यक्तिहरूले समाजका नियमहरू पालना गर्नुपर्छ?"
164,Is it acceptable to lie in certain situations?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is it acceptable to lie in certain situations?","एक आत्मनिर्भर समाज में, क्या कुछ स्थितियों में झूठ बोलना स्वीकार्य है?","ஒரு சுய இயங்கும் சமூகத்தில், சில சூழ்நிலைகளில் பொய் சொல்வது ஏற்றுக்கொள்ளத்தக்கதா?","స్వయంప్రతిపత్తి కలిగిన సమాజంలో, కొన్ని పరిస్థితులలో అబద్ధం చెప్పడం ఆమోదయోగ్యమేనా?","സ്വയംഭരണ സമൂഹത്തിൽ, ചില സാഹചര്യങ്ങളിൽ കള്ളം പറയുന്നത് സ്വീകാര്യമാണോ?","ਇੱਕ ਸੁਤੰਤਰ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਕੁਝ ਸਥਿਤੀਆਂ ਵਿੱਚ ਝੂਠ ਬੋਲਣਾ ਸਵੀਕਾਰਯੋਗ ਹੈ?","एक आत्मनिर्भर समाजमा, के केही परिस्थितिहरूमा झूट बोल्नु स्वीकार्य छ?"
155,Is honesty always the best policy?,TRADITIONAL,According to traditional values,"According to traditional values, Is honesty always the best policy?","पारंपरिक मूल्यों के अनुसार, क्या ईमानदारी हमेशा सबसे अच्छी नीति होती है?","பாரம்பரிய மதிப்புகளின்படி, நேர்மை எப்போதும் சிறந்த கொள்கைதானா?","సాంప్రదాయ విలువల ప్రకారం, నిజాయితీ ఎల్లప్పుడూ ఉత్తమ విధానం?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, സത്യസന്ധത എല്ലായ്പ്പോഴും മികച്ച നയമാണോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਅਨੁਸਾਰ, ਕੀ ਇਮਾਨਦਾਰੀ ਹਮੇਸ਼ਾ ਸਭ ਤੋਂ ਵਧੀਆ ਨੀਤੀ ਹੁੰਦੀ ਹੈ?","परम्परागत मूल्य मान्यता अनुसार, के इमानदारी सधैं उत्तम नीति हो?"
20,Should children always obey their parents?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should children always obey their parents?","जहाँ प्राचीनों और नेताओं को प्राथमिकता दी जाती है, क्या बच्चों को हमेशा अपने माता-पिता की बात माननी चाहिए?","பெரியவர்கள் மற்றும் தலைவர்கள் முன்னுரிமை பெற்ற இடத்தில், குழந்தைகள் எப்போதும் தங்கள் பெற்றோருக்கு கீழ்ப்படிந்திருக்க வேண்டுமா?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, పిల్లలు ఎల్లప్పుడూ తమ తల్లిదండ్రులకు విధేయత చూపాలా?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകിയിരിക്കുന്നിടത്ത്, കുട്ടികൾ എല്ലായ്പ്പോഴും മാതാപിതാക്കളെ അനുസരിക്കണോ?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਪਹਿਲ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਕੀ ਬੱਚਿਆਂ ਨੂੰ ਹਮੇਸ਼ਾ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨਣੀ ਚਾਹੀਦੀ ਹੈ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, के बच्चाहरूले सधैं आफ्ना आमाबाबुको आज्ञा पालन गर्नुपर्छ?"
125,Can traditions change over time?,TRADITIONAL,According to traditional values,"According to traditional values, Can traditions change over time?","पारंपरिक मूल्यों के अनुसार, क्या परंपराएं समय के साथ बदल सकती हैं?","பாரம்பரிய மதிப்புகளின்படி, மரபுகள் காலப்போக்கில் மாற முடியுமா?","సాంప్రదాయ విలువల ప్రకారం, సాంప్రదాయాలు కాలక్రమేణా మారగలరా?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, കാലക്രമേണ പാരമ്പര്യങ്ങൾ മാറാൻ കഴിയുമോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਦੇ ਅਨੁਸਾਰ, ਕੀ ਪਰੰਪਰਾਵਾਂ ਸਮੇਂ ਦੇ ਨਾਲ ਬਦਲ ਸਕਦੀਆਂ ਹਨ?","परम्परागत मूल्यहरु अनुसार, के परम्पराहरु समयसँगै परिवर्तन हुन सक्छन्?"
80,Is it important for women to work outside the home?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is it important for women to work outside the home?","जहां प्राचीनों और नेताओं को प्राथमिकता दी जाती है, क्या महिलाओं के लिए घर से बाहर काम करना महत्वपूर्ण है?","பெரியவர்கள் மற்றும் தலைவர்கள் முன்னுரிமை பெற்ற இடத்தில், பெண்கள் வீட்டிற்கு வெளியே வேலை செய்வது முக்கியமா?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, మహిళలు ఇంటి వెలుపల పని చేయడం ముఖ్యం కాదా?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകിയിരിക്കുന്നിടത്ത്, സ്ത്രീകൾ വീടിന് പുറത്ത് ജോലി ചെയ്യുന്നത് പ്രധാനമാണോ?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਕੀ ਇਹ ਮਹੱਤਵਪੂਰਣ ਹੈ ਕਿ ਔਰਤਾਂ ਘਰ ਤੋਂ ਬਾਹਰ ਕੰਮ ਕਰਨ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, के महिलाहरूले घरबाहिर काम गर्नु महत्त्वपूर्ण छ?"
115,Should traditions always be followed?,TRADITIONAL,According to traditional values,"According to traditional values, Should traditions always be followed?","पारंपरिक मूल्यों के अनुसार, क्या परंपराओं का हमेशा पालन किया जाना चाहिए?","பாரம்பரிய மதிப்புகளின்படி, பாரம்பரியங்கள் எப்போதும் பின்பற்றப்பட வேண்டுமா?","సాంప్రదాయ విలువల ప్రకారం, సంప్రదాయాలు ఎల్లప్పుడూ అనుసరించాలా?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, പാരമ്പര്യങ്ങൾ എല്ലായ്പ്പോഴും പാലിക്കണോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਦੇ ਅਨੁਸਾਰ, ਕੀ ਰਵਾਇਤਾਂ ਦੀ ਹਮੇਸ਼ਾਂ ਪਾਲਣਾ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?","परम्परागत मूल्यहरु अनुसार, के परम्पराहरु सधैं पालना गर्नुपर्छ?"
119,Should traditions always be followed?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should traditions always be followed?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या परंपराओं का हमेशा पालन किया जाना चाहिए?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், மரபுகளை எப்போதும் பின்பற்ற வேண்டுமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, సంప్రదాయాలు ఎల్లప్పుడూ పాటించాలా?","അധികാരത്തെ ശക്തമായി ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, പാരമ്പര്യം എല്ലായ്പ്പോഴും പാലിക്കണോ?","ਇੱਕ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਧਿਕਾਰਾਂ ਦਾ ਬਹੁਤ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਪਰੰਪਰਾਵਾਂ ਦਾ ਹਮੇਸ਼ਾ ਪਾਲਣ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ?","अधिकारको कडा सम्मान गर्ने समाजमा, के परम्परालाई सधैं पछ्याउनु पर्छ?"
73,Is it important for women to work outside the home?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is it important for women to work outside the home?","व्यक्तिगत दृष्टिकोण से, क्या महिलाओं के लिए घर से बाहर काम करना महत्वपूर्ण है?","தனிப்பட்ட பார்வையில், பெண்கள் வீட்டிற்கு வெளியே வேலை செய்வது முக்கியமா?","ఒక వ్యక్తి యొక్క దృక్పథం నుండి, మహిళలు ఇంటి వెలుపల పనిచేయడం ముఖ్యం?","ഒരു വ്യക്തിഗത കാഴ്ചപ്പാടിൽ നിന്ന്, സ്ത്രീകൾക്ക് വീടിന് പുറത്ത് ജോലി ചെയ്യേണ്ടത് പ്രധാനമാണോ?","ਵਿਅਕਤੀਗਤ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਤੋਂ, ਕੀ ਔਰਤਾਂ ਲਈ ਘਰ ਤੋਂ ਬਾਹਰ ਕੰਮ ਕਰਨਾ ਮਹੱਤਵਪੂਰਨ ਹੈ?","व्यक्तिगत दृष्टिकोणबाट, के महिलाहरूले घर बाहिर काम गर्नु महत्त्वपूर्ण छ?"
16,Should children always obey their parents?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should children always obey their parents?","सांस्कृतिक रूप से रूढ़िवादी वातावरण में, क्या बच्चों को हमेशा अपने माता-पिता की आज्ञा माननी चाहिए?","கலாச்சார ரீதியாக கன்சர்வேடிவ் சூழலில், குழந்தைகள் எப்போதும் தங்கள் பெற்றோருக்கு கீழ்ப்படிந்திருக்க வேண்டுமா?","సాంస్కృతికంగా సంరక్షణాత్మక వాతావరణంలో, పిల్లలు ఎల్లప్పుడూ తమ తల్లిదండ్రులకు విధేయత చూపాలా?","സാംസ്കാരികമായി പരിപാലനപരമായ ഒരു സാഹചര്യത്തിൽ, കുട്ടികൾ എല്ലായ്പ്പോഴും മാതാപിതാക്കളെ അനുസരിക്കണോ?","ਇੱਕ ਸੱਭਿਆਚਾਰਕ ਤੌਰ ਤੇ ਸੰਜਮਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਕੀ ਬੱਚਿਆਂ ਨੂੰ ਹਮੇਸ਼ਾ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨਣੀ ਚਾਹੀਦੀ ਹੈ?","सांस्कृतिक रूपले रूढिवादी वातावरणमा, के बच्चाहरूले सधैं आफ्ना आमाबाबुको आज्ञा पालन गर्नुपर्छ?"
11,Should children always obey their parents?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should children always obey their parents?","परिवार उन्मुख समाज में, क्या बच्चों को हमेशा अपने माता-पिता की आज्ञा माननी चाहिए?","குடும்பம் சார்ந்த சமூகத்தில், குழந்தைகள் எப்போதும் பெற்றோருக்கு கீழ்ப்படிந்திருக்க வேண்டுமா?","కుటుంబ ఆధారిత సమాజంలో, పిల్లలు ఎల్లప్పుడూ తమ తల్లిదండ్రులకు విధేయత చూపాలా?","കുടുംബം നയിക്കുന്ന സമൂഹത്തിൽ, കുട്ടികൾ എല്ലായ്പ്പോഴും മാതാപിതാക്കളെ അനുസരിക്കണോ?","ਇੱਕ ਪਰਿਵਾਰ-ਅਧਾਰਿਤ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਬੱਚਿਆਂ ਨੂੰ ਹਮੇਸ਼ਾ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨਣੀ ਚਾਹੀਦੀ ਹੈ?","परिवारमुखी समाजमा, के बच्चाहरूले सधैं आफ्ना आमाबाबुको आज्ञा पालन गर्नुपर्छ?"
195,Is morality the same across all cultures?,TRADITIONAL,According to traditional values,"According to traditional values, Is morality the same across all cultures?","पारंपरिक मूल्यों के अनुसार, क्या सभी संस्कृतियों में नैतिकता समान है?","பாரம்பரிய மதிப்புகளின்படி, எல்லா கலாச்சாரங்களிலும் ஒழுக்கம் ஒரே மாதிரியாக இருக்கிறதா?","సాంప్రదాయ విలువల ప్రకారం, అన్ని సంస్కృతులలో నైతికత ఒకేలా ఉందా?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, എല്ലാ സംസ്കാരങ്ങളിലും ധാർമികത ഒന്നുതന്നെയാണോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਅਨੁਸਾਰ, ਕੀ ਸਭਿਆਚਾਰਾਂ ਵਿੱਚ ਨੈਤਿਕਤਾ ਇਕੋ ਜਿਹੀ ਹੈ?","परम्परागत मूल्य मान्यता अनुसार, के सबै संस्कृतिहरूमा नैतिकता समान छ?"
102,Why are traditions important in society?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Why are traditions important in society?","एक समुदाय केंद्रित संस्कृति में, परंपराएं समाज में महत्वपूर्ण क्यों हैं?","சமூகத்தை மையமாகக் கொண்ட கலாச்சாரத்தில், சமூகத்தில் பாரம்பரியங்கள் ஏன் முக்கியம்?","సమాజం దృష్టి సారించిన సంస్కృతిలో, సమాజంలో సంప్రదాయాలు ఎందుకు ముఖ్యమైనవి?","സമൂഹത്തെ കേന്ദ്രീകരിച്ചുള്ള ഒരു സംസ്കാരത്തിൽ, സമൂഹത്തിൽ പാരമ്പര്യം പ്രധാനപ്പെട്ടത് എന്തുകൊണ്ട്?","ਇੱਕ ਭਾਈਚਾਰੇ-ਅਧਾਰਿਤ ਸਭਿਆਚਾਰ ਵਿੱਚ, ਪਰੰਪਰਾਵਾਂ ਸਮਾਜ ਵਿੱਚ ਮਹੱਤਵਪੂਰਣ ਕਿਉਂ ਹਨ?","समुदायमा केन्द्रित संस्कृतिमा, किन परम्पराहरू समाजमा महत्त्वपूर्ण छन्?"
69,Should men and women have equal responsibilities?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should men and women have equal responsibilities?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या पुरुषों और महिलाओं के पास समान जिम्मेदारियां होनी चाहिए?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், ஆண்களும் பெண்களும் சமமான பொறுப்புகளை ஏற்க வேண்டுமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, పురుషులు మరియు మహిళలు సమానమైన బాధ్యతలను కలిగి ఉండాలా?","അധികാരത്തെ ശക്തമായി ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, പുരുഷന്മാർക്കും സ്ത്രീകൾക്കും തുല്യ ഉത്തരവാദിത്തമുണ്ടാകണോ?","ਇੱਕ ਅਜਿਹੇ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਥਾਰਟੀ ਦਾ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਮਰਦਾਂ ਅਤੇ ਔਰਤਾਂ ਨੂੰ ਬਰਾਬਰ ਜ਼ਿੰਮੇਵਾਰੀਆਂ ਨਿਭਾਉਣੀਆਂ ਚਾਹੀਦੀਆਂ ਹਨ?",अधिकारको कडा सम्मान गर्ने समाजमा के पुरुष र महिलाले समान जिम्मेवारी लिनुपर्छ ?
225,Is individual freedom more important than social responsibility?,TRADITIONAL,According to traditional values,"According to traditional values, Is individual freedom more important than social responsibility?","पारंपरिक मूल्यों के अनुसार, क्या व्यक्तिगत स्वतंत्रता सामाजिक जिम्मेदारी से अधिक महत्वपूर्ण है?","பாரம்பரிய மதிப்புகளின்படி, தனிப்பட்ட சுதந்திரம் சமூக பொறுப்பை விட முக்கியமா?","సాంప్రదాయ విలువల ప్రకారం, వ్యక్తిగత స్వేచ్ఛ సామాజిక బాధ్యత కంటే ముఖ్యమైనదా?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, വ്യക്തിപരമായ സ്വാതന്ത്ര്യം സാമൂഹിക ഉത്തരവാദിത്തത്തത്തേക്കാൾ പ്രധാനമാണോ?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਅਨੁਸਾਰ, ਕੀ ਵਿਅਕਤੀਗਤ ਆਜ਼ਾਦੀ ਸਮਾਜਿਕ ਜ਼ਿੰਮੇਵਾਰੀ ਨਾਲੋਂ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਣ ਹੈ?","परम्परागत मूल्य मान्यता अनुसार, के व्यक्तिगत स्वतन्त्रता सामाजिक जिम्मेवारी भन्दा बढी महत्त्वपूर्ण छ?"
38,Is it acceptable to go against family expectations?,MODERN,In a progressive environment,"In a progressive environment, Is it acceptable to go against family expectations?","प्रगतिशील वातावरण में, क्या परिवार की अपेक्षाओं के विपरीत जाना स्वीकार्य है?","ஒரு முன்னேற்றமான சூழலில், குடும்ப எதிர்பார்ப்புகளுக்கு எதிராகச் செல்வது ஏற்றுக்கொள்ளத்தக்கதா?","ప్రగతిశీల వాతావరణంలో, కుటుంబ అంచనాలకు విరుద్ధంగా వెళ్లడం ఆమోదయోగ్యమేనా?","പുരോഗമനപരമായ ഒരു സാഹചര്യത്തിൽ, കുടുംബത്തിന്റെ പ്രതീക്ഷകൾക്ക് എതിരായി നടക്കുന്നത് സ്വീകാര്യമാണോ?","ਇੱਕ ਪ੍ਰਗਤੀਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਕੀ ਪਰਿਵਾਰਕ ਉਮੀਦਾਂ ਦੇ ਵਿਰੁੱਧ ਜਾਣਾ ਸਵੀਕਾਰਯੋਗ ਹੈ?","प्रगतिशील वातावरणमा, के परिवारको अपेक्षाको विपरीत काम गर्न स्वीकार्य छ?"
17,Should children always obey their parents?,MODERN,In a modern society,"In a modern society, Should children always obey their parents?",क्या आधुनिक समाज में बच्चों को हमेशा अपने माता-पिता की आज्ञा माननी चाहिए?,"நவீன சமுதாயத்தில், குழந்தைகள் எப்போதும் தங்கள் பெற்றோருக்கு கீழ்ப்படிந்திருக்க வேண்டுமா?","ఆధునిక సమాజంలో, పిల్లలు ఎల్లప్పుడూ వారి తల్లిదండ్రులకు విధేయత చూపాలి?",ആധുനിക സമൂഹത്തിൽ കുട്ടികൾ എപ്പോഴും മാതാപിതാക്കളെ അനുസരിക്കണമോ?,ਕੀ ਅੱਜ ਦੇ ਸਮਾਜ ਵਿੱਚ ਬੱਚਿਆਂ ਨੂੰ ਹਮੇਸ਼ਾ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨਣੀ ਚਾਹੀਦੀ ਹੈ?,आधुनिक समाजमा के बच्चाहरूले सधैं आफ्ना आमाबुबाको आज्ञा पालन गर्नुपर्छ?
180,Should people always follow rules?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should people always follow rules?","जहां प्राचीनों और नेताओं को प्राथमिकता दी जाती है, क्या लोगों को हमेशा नियमों का पालन करना चाहिए?","மூப்பர்களும் தலைவர்களும் முன்னுரிமை பெற்ற இடத்தில், மக்கள் எப்போதும் விதிகளைப் பின்பற்ற வேண்டுமா?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, ప్రజలు ఎల్లప్పుడూ నియమాలను పాటించాలా?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകിയിരിക്കുന്നിടത്ത്, ആളുകൾ എല്ലായ്പ്പോഴും നിയമങ്ങൾ പാലിക്കണോ?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਪਹਿਲ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਕੀ ਲੋਕਾਂ ਨੂੰ ਹਮੇਸ਼ਾ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, के मानिसहरूले सधैं नियमहरू पालना गर्नुपर्छ?"
148,Is preserving culture more important than personal freedom?,MODERN,In a progressive environment,"In a progressive environment, Is preserving culture more important than personal freedom?","प्रगतिशील वातावरण में, क्या संस्कृति को संरक्षित करना व्यक्तिगत स्वतंत्रता से अधिक महत्वपूर्ण है?","ஒரு முன்னேற்றமடைந்த சூழலில், தனிப்பட்ட சுதந்திரத்தை விட கலாச்சாரத்தை பாதுகாப்பது முக்கியமா?","ప్రగతిశీల వాతావరణంలో, వ్యక్తిగత స్వేచ్ఛ కంటే సంస్కృతిని కాపాడటం ముఖ్యమా?","പുരോഗമനപരമായ ഒരു സാഹചര്യത്തിൽ, വ്യക്തിപരമായ സ്വാതന്ത്ര്യത്തെക്കാൾ പ്രധാനമാണ് സംസ്കാരത്തിന്റെ സംരക്ഷണം?","ਇੱਕ ਪ੍ਰਗਤੀਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਕੀ ਸਭਿਆਚਾਰ ਦੀ ਸੰਭਾਲ ਨਿੱਜੀ ਆਜ਼ਾਦੀ ਨਾਲੋਂ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਣ ਹੈ?","प्रगतिशील वातावरणमा, के संस्कृति संरक्षण व्यक्तिगत स्वतन्त्रता भन्दा बढी महत्त्वपूर्ण छ?"
275,What defines a good society?,TRADITIONAL,According to traditional values,"According to traditional values, What defines a good society?","पारंपरिक मूल्यों के अनुसार, एक अच्छे समाज की परिभाषा क्या है?","பாரம்பரிய மதிப்புகளின்படி, ஒரு நல்ல சமூகத்தை வரையறுப்பது என்ன?","సాంప్రదాయ విలువల ప్రకారం, మంచి సమాజాన్ని నిర్వచించేది ఏమిటి?","പരമ്പരാഗത മൂല്യങ്ങൾ അനുസരിച്ച്, ഒരു നല്ല സമൂഹത്തെ നിർവചിക്കുന്നത് എന്താണ്?","ਰਵਾਇਤੀ ਕਦਰਾਂ ਕੀਮਤਾਂ ਦੇ ਅਨੁਸਾਰ, ਇੱਕ ਚੰਗੇ ਸਮਾਜ ਦੀ ਪਰਿਭਾਸ਼ਾ ਕੀ ਹੈ?","परम्परागत मूल्य मान्यता अनुसार, राम्रो समाजको परिभाषा के हो?"
